Reg No,Candidate Name,Office,District,County,Party
CC10326,"Kane, Dain ",Mayor,,Maui,Democrat
CC10506,"Kaneakua, Harry ",Kauai Council,At-Large,Kauai,Democrat
CC11052,"Kanekoa, Ernest",Kauai Council,At-Large,Kauai,Democrat
CC10488,"Kaneshiro, Daryl",Kauai Council,1,Kauai,Democrat
CC10271,"Kaneshiro, Daryl ",Kauai Council,At-Large,Kauai,Non-Partisan
CC10746,"Kaneshiro, Keith",Prosecuting Attorney,,Honolulu,Non-Partisan
CC10149,"Kanno, Brian  ",BOE                                               ,At-Large,,Non-Partisan
CC10842,"Kanuha, Dru",Hawaii Council,7,Hawaii,Non-Partisan
CC10732,"Kaopua, John ",House,44,,Democrat
CC11058,"Kapoi, Cranston",House,8,,Republican
CC10618,"Kapu, Jonah ",Maui Council,West Maui,Maui,Non-Partisan
CC10987,"Kapu, Jonah Keeaumoku ",OHA                                               ,Maui,,Non-Partisan
CC10949,"Kapuniai, Ryan",House,26,,Democrat
CC10256,"Karamatsu, Jon",Lt. Governor,,,Democrat
CC10689,"Katz, Norman",House,26,,Republican
CC10883,"Kaukani, Chad",Honolulu Council,3,Honolulu,Non-Partisan
CC10467,"Kawahara, Lani ",Kauai Council,Kauai,Kauai,Democrat
CC10377,"Kawakami, Derek",House,14,,Democrat
CC10565,"Kawakami, Shaun",House,45,,Democrat
CC10216,"Kawamoto, Cal ",Senate,18,,Democrat
CC10404,"Kawananakoa, Quentin ",House,51,,Republican
CC10952,"Kay, Alana",Mayor,,Maui,Non-Partisan
CC10385,"Kealoha, Christobel ",Kauai Council,14,Kauai,Democrat
CC10537,"Keith-Agaran, Gilbert",Senate,5,,Democrat
CC10335,"Kenoi, William",Mayor,,Hawaii,Democrat
CC11056,"Keohokalole, Jarrett",House,48,,Democrat
CC10813,"Kern, Zendo",Hawaii Council,5,Hawaii,Non-Partisan
CC10494,"Kidani, Michelle",Senate,18,,Democrat
CC10955,"Kim, Brian ",House,27,,Republican
CC10254,"Kim, Donna",Senate,14,,Democrat
CC10924,"Kim, Harry ",Mayor,,Hawaii,Non-Partisan
CC10348,"Kim, Jo",Hawaii Council,1,Hawaii,Democrat
CC10157,"Kimura, Jay",Prosecuting Attorney,,Hawaii,Democrat
CC10334,"Kincaid, Kaipo ",House,49,,Democrat
CC10539,"King, Adrienne ",Lt. Governor,,,Republican
CC10551,"Kinney, Nathaniel",House,23,,Democrat
CC10498,"Kippen, Colin ",OHA                                               ,At-Large,,Non-Partisan
CC10671,"Kirkpatrick, Malcolm ",BOE                                               ,At-Large,,Non-Partisan
CC10473,"Kirkpatrick, Malcolm ",BOE                                               ,2,,Non-Partisan
CC10150,"Kobayashi, Ann",Honolulu Council,5,Honolulu,Non-Partisan
CC10881,"Kobayashi, Bertrand",House,19,,Democrat
CC10704,"Koh, Patrick",House,29,,Democrat
CC10187,"Kokubun, Russell ",Senate,2,,Democrat
CC10805,"Kollar, Justin",Prosecuting Attorney,,Kauai,Non-Partisan
CC10649,"Kong, Samuel",House,33,,Republican
CC10611,"Kopelman, Ori ",Mayor,,Maui,Independent
CC10226,"Kouchi, Ron",Senate,8,,Democrat
CC10503,"Ku, Tercia",House,43,,Republican
CC10353,"Kualii, KipuKai",Kauai Council,At-Large,Kauai,Democrat
CC11049,"Kukahiko, Eldean",House,48,,Republican
CC10786,"Kurshals, Maralyn ",BOE                                               ,1,,Non-Partisan
CC10706,"LaBedz, Diana ",Mayor,,Kauai,Democrat
CC10688,"Lacuesta, Celeste ",Honolulu Council,1,Honolulu,Non-Partisan
CC10912,"Lacuesta, Roger ",Senate,19,,Democrat
CC10936,"LaFrance, Jeff ",Senate,3,,Republican
CC10870,"Lajala, Kurt ",Senate,9,,Democrat
CC10601,"Lane, T.J. ",House,18,,Democrat
CC10765,"Larkey, Jerald ",House,38,,Republican
CC10896,"Larson, Elisabeth",Senate,12,,Republican
CC10922,"Last, Michael ",Senate,3,,Non-Partisan
CC10597,"Laub, Paul ",Maui Council,West Maui,Maui,Independent
CC10610,"Lavoie, Frank ",Honolulu Council,6,Honolulu,Non-Partisan
CC11055,"Law, Timothy",Hawaii Council,,,
CC10759,"Leau, Rebecca",House,6,,Republican
CC10721,"Lee, Albert",House,18,,Democrat
CC10940,"Lee, Calvin ",OHA                                               ,At-Large,,Democrat
CC10458,"Lee, Carol Mon ",BOE                                               ,1,,Non-Partisan
CC10395,"Lee, Christopher",House,51,,Democrat
CC11004,"Lee, Marilyn",House,36,,Democrat
CC10184,"Lee, Marilyn ",House,36,,Democrat
CC10541,"Lee, Philmund ",Honolulu Council,5,Honolulu,Non-Partisan
CC10758,"Lee, Philmund ",Mayor,,Honolulu,Non-Partisan
CC10384,"Legal, Jack ",House,40,,Republican
CC10751,"Lembeck, E.J. ",House,21,,Republican
CC10527,"Leong, Keoki ",Honolulu Council,3,Honolulu,Non-Partisan
CC10164,"Leong, Keoki ",Senate,24,,Republican
CC10854,"Leslie, Bucky ",House,6,,Democrat
CC10789,"Lewis, Chris ",Honolulu Council,1,Honolulu,Democrat
CC10654,"Lewis, Joseph ",OHA                                               ,At-Large,,Non-Partisan
CC10509,"Libre, Rhoda ",House,15,,Democrat
CC10941,"Lincoln, Lancelot ",OHA                                               ,At-Large,,Democrat
CC10981,"Lindsey, Carmen",OHA                                               ,Maui,,Independent
CC10406,"Lindsey, Robert",OHA                                               ,At-Large,,Non-Partisan
CC10223,"Lingle, Linda ",Governor,,,Republican
CC10653,"Linville, Marcia ",BOE                                               ,At-Large,,Democrat
CC10456,"Linville, Marcia ",BOE                                               ,26,,Non-Partisan
CC10869,"Lipton, Levani ",Senate,25,,Democrat
CC10560,"Lively, Barbara ",Hawaii Council,5,Hawaii,Non-Partisan
CC10794,"LoPresti, Matthew",House,41,,Democrat
CC10571,"Low, Jeremy",House,18,,Republican
CC10861,"Lowen, Nicole",House,6,,Democrat
CC11057,"Lozano, Roy",Hawaii Council,4,Hawaii,Non-Partisan
CC10186,"Luke, Sylvia",House,25,,Democrat
CC10658,"Lum Ho, Sharon ",House,31,,Democrat
CC10465,"Lum Lee, Christopher-Travis ",Senate,16,,Non-Partisan
CC10992,"Lum Lee, Christopher-Travis",OHA                                               ,Oahu,,Democrat
CC10903,"Lunasco, Oliver ",House,45,,Democrat
CC10437,"Lunasco, Oliver ",House,46,,Democrat
CC10872,"Lyons, Jeffrey ",House,45,,Republican
CC10567,"Lyons, Michael ",Senate,22,,Democrat
CC10354,"MacGregor, Maegan ",House,7,,Democrat
CC10317,"Machado, Colette",OHA                                               ,Molokai,,Democrat
CC10487,"Madden, Ramon",House,10,,Republican
CC10188,"Magaoay, Michael ",House,45,,Democrat
CC10705,"Makekau, Kealii",OHA                                               ,At-Large,,Independent
CC10444,"Maly, Jacqueline R.S.R.T. ",Mayor,,Honolulu,Non-Partisan
CC10885,"Manabat, Christopher",House,40,,Democrat
CC10251,"Manahan, Joey",Honolulu Council,7,Honolulu,Democrat
CC10800,"Manaku, James ",Honolulu Council,1,Honolulu,Non-Partisan
CC10258,"Manayan, Rick",House,30,,Republican
CC10639,"Manner, Paul ",Governor,,,Non-Partisan
CC10518,"Manner, Paul ",Mayor,,Honolulu,Non-Partisan
CC10366,"Mano, Matthew ",Maui Council,Lanai,Maui,Non-Partisan
CC10619,"Mano, Matthew",Maui Council,Lanai,Maui,Non-Partisan
CC10832,"Marsh, Anne",Mayor,,Hawaii,Non-Partisan
CC10151,"Marshall, Barbara ",Honolulu Council,3,Honolulu,Non-Partisan
CC10743,"Marshall, Eric ",Senate,10,,Republican
CC10959,"Marten, Chayne ",House,10,,Republican
CC10476,"Marten, Chayne ",Maui Council,10,Maui,Non-Partisan
CC10770,"Marten, Chayne ",House,10,,Republican
CC10568,"Martin, Ernest",Honolulu Council,2,Honolulu,Democrat
CC10788,"Martinez, Rosebella",House,40,,Democrat
CC10240,"Marumoto, Barbara",House,19,,Republican
CC10412,"Marzi, Anthony ",House,4,,Democrat
CC10430,"Masilamoney, Sam ",Mayor,,Hawaii,Non-Partisan
CC10189,"Mateo, Danny ",Maui Council,Molokai,Maui,Democrat
CC10463,"Matsumoto, Denise ",BOE                                               ,3rd Dept. (Honolulu),,Non-Partisan
CC10555,"Matsunaga, Matthew",Honolulu Council,5,Honolulu,Democrat
CC10739,"Mayor, Roberta ",BOE                                               ,At-Large,,Non-Partisan
CC10923,"McDermott, Bob",House,40,,Republican
CC10784,"McDermott, Bob ",Honolulu Council,1,Honolulu,Non-Partisan
CC11007,"McInerny, Harvey",OHA                                               ,At-Large,,Non-Partisan
CC10558,"McIntosh, Harry ",Senate,2,,Republican
CC10825,"McIntosh, Harry ",Hawaii Council,6,Hawaii,Non-Partisan
CC10888,"McKeague-Gomes, Leslie",House,43,,Democrat
CC10264,"McKelvey, Angus",House,10,,Democrat
CC10857,"McLaughlin, Erin ",Maui Council,Kahului,Maui,Non-Partisan
CC10741,"McLeod, John ",Mayor,,Honolulu,Libertarian
CC10507,"McMahon, Nancy ",Kauai Council,Kauai,Kauai,Non-Partisan
CC10451,"Medeiros, William ",Maui Council,East Maui,Maui,Non-Partisan
CC10573,"Mee-Lee, Matthew ",House,24,,Democrat
CC10158,"Menor, Ron",Honolulu Council,9,Honolulu,Democrat
CC10207,"Meyer, Colleen",Senate,23,,Republican
CC10714,"Meyers, Jadeen ",House,45,,Republican
CC10603,"Meyers, William ",OHA                                               ,2,,Independent
CC10938,"Meyers, William ",OHA                                               ,Hawaii,,Democrat
CC10391,"Meyers, William ",OHA                                               ,Hawaii,,Non-Partisan
CC10298,"Middleton, Carlton",Honolulu Council,6,Honolulu,Democrat
CC10490,"Mijares, Scott ",Kauai Council,Kauai,Kauai,Non-Partisan
CC10647,"Milbourn, Peter ",Mayor,,Maui,Non-Partisan
CC10720,"Miller, Harold ",Mayor,,Maui,Independent
CC10979,"Miller, Steven",Honolulu Council,6,Honolulu,Non-Partisan
CC10462,"Min, Robert ",House,Wailuku,,Republican
CC10899,"Mindo, Romeo ",House,40,,Democrat
CC10974,"Miranda, Edwin ",OHA                                               ,2,,Non-Partisan
CC10559,"Miranda, Marc ",House,1,,Republican
CC10241,"Mizuno, John",House,28,,Democrat
CC10983,"Mizuno, Joje May",Honolulu Council,6,Honolulu,Non-Partisan
CC10280,"Moepono, Sesnita",Honolulu Council,6,Honolulu,Non-Partisan
CC10632,"Mohr, John ",House,25,,Republican
CC10309,"Molina, Michael",Maui Council,Makawao,Maui,Democrat
CC10455,"Monk, Amy ",House,17,,Democrat
CC10566,"Montes, Anel ",Senate,20,,Republican
CC10365,"Moore, Michael ",Mayor,,Hawaii,Non-Partisan
CC10631,"Morikawa, Daynette",House,16,,Democrat
CC10233,"Morita, Hermina",House,14,,Democrat
CC10219,"Moses, Mark",House,40,,Republican
CC10668,"Mossman, Boyd ",OHA                                               ,Maui,,Non-Partisan
CC10971,"Mulvihill, Bart",Senate,6,,Republican
CC10500,"Mulvihill, Bart ",Senate,5,,Democrat
CC10376,"Muraki, Noel ",Senate,23,,Democrat
CC10937,"Murphy, Christopher ",House,46,,Republican
CC10165,"Naauao, Kaui ",OHA                                               ,Oahu,,Non-Partisan
CC10315,"Naeole, Emily ",Hawaii Council,5,Hawaii,Non-Partisan
CC10371,"Naeole-Beason, Emily",Hawaii Council,5,Hawaii,Non-Partisan
CC10590,"Nakamura, Nadine ",Kauai Council,At-Large,Kauai,Democrat
CC10753,"Nakasato, Dennis ",Honolulu Council,6,Honolulu,Democrat
CC10984,"Nakasato, Kevin",Honolulu Council,6,Honolulu,Non-Partisan
CC10352,"Nakashima, Mark",House,1,,Democrat
CC10261,"Nakasone, Robert ",House,9,,Democrat
CC10485,"Nakkim, Lynn ",House,1,,Democrat
CC10535,"Naluai, Solomon ",Honolulu Council,3,Honolulu,Non-Partisan
CC10454,"Naluai, Solomon ",OHA                                               ,At-Large,,Non-Partisan
CC10450,"Namuo, Pauline ",BOE                                               ,At-Large,,Non-Partisan
CC11046,"Nava, Frederick",Maui Council,West Maui,Maui,Democrat
CC10764,"Nicolas, Fernie ",House,41,,Democrat
CC10159,"Nishihara, Clarence",Senate,17,,Democrat
CC10428,"Nishiki, Kahekai ",Maui Council,Makawao,Maui,Democrat
CC10517,"Nishiki, Wayne ",Maui Council,South Maui,Maui,Non-Partisan
CC10719,"Nishiki, Wayne ",Maui Council,11,Maui,Non-Partisan
CC10190,"Nishimoto, Scott ",House,21,,Democrat
CC10152,"Nishioka, Nadine ",House,24,,Republican
CC10441,"Nitta, George ",Mayor,,Honolulu,Democrat
CC10594,"Nomura, Leona ",Maui Council,Makawao,Maui,Non-Partisan
CC10778,"Odegaard, Michael ",OHA                                               ,At-Large,,Non-Partisan
CC10380,"Offenbaker, Steven ",House,1,,Republican
CC10808,"Ohno, Takashi",House,27,,Democrat
CC10823,"Okamura, Thomas ",House,33,,Democrat
CC10305,"Okino, Gary",House,33,,Democrat
CC10477,"Okutsu, Marie ",Hawaii Council,4,Hawaii,Non-Partisan
CC10709,"Olson, Jonathon ",Mayor,,Maui,Non-Partisan
CC10783,"ONeal, David ",BOE                                               ,1,,Non-Partisan
CC10373,"Onishi, Dennis",Hawaii Council,3,Hawaii,Non-Partisan
CC10965,"Onishi, Richard",House,3,,Democrat
CC10160,"Ontai, Guy ",House,37,,Republican
CC10379,"Ornellas, John ",Maui Council,Lanai,Maui,Non-Partisan
CC10255,"Oshiro, Blake",House,33,,Democrat
CC10191,"Oshiro, Marcus",House,46,,Democrat
CC10904,"Oyama, Leolani ",House,5,,Democrat
CC11006,"Ozawa, Trevor",Honolulu Council,4,Honolulu,Non-Partisan
CC10553,"Pacarro, Franklin Jr. ",Prosecuting Attorney,,Honolulu,Non-Partisan
CC10943,"Pacheco, Jade ",OHA                                               ,Kauai,,Non-Partisan
CC10452,"Pacheco, Maria ",House,47,,Democrat
CC10698,"Pacheco, Maria ",House,46,,Democrat
CC10880,"Pajimola, Noralyn",House,1,,Democrat
CC11010,"Paltin, Tamara ",Mayor,,Maui,Democrat
CC10582,"Pandolfe, Joseph Jr. ",Senate,25,,Republican
CC10357,"Parayno, Ilalo ",House,35,,Democrat
CC10734,"Park, Timothy ",House,25,,Republican
CC10502,"Pasadava, Linda ",Kauai Council,Kauai,Kauai,Democrat
CC10673,"Pascua, Benizon",Senate,15,,Republican
CC10733,"Pascua, Jason",House,48,,Democrat
CC10641,"Payne, Gary ",House,26,,Democrat
CC11012,"Peleiholani, Julia",House,4,,Democrat
CC10660,"Penebacker, John ",BOE                                               ,6th Dept. (Windward),,Non-Partisan
CC10552,"Peralto, Keolu ",Honolulu Council,5,Honolulu,Non-Partisan
CC10699,"Perry, Johnnie-Mae ",House,45,,Democrat
CC10855,"Perry, Johnnie-Mae ",House,44,,Democrat
CC10431,"Peters, Robert ",BOE                                               ,At-Large,,Non-Partisan
CC10926,"Peters, Wilson",Maui Council,Molokai,Maui,Non-Partisan
CC10320,"Philips, Carol ",House,46,,Republican
CC10532,"Pico, Thomas, Jr. ",Honolulu Council,3,Honolulu,Non-Partisan
CC10250,"Pilago, K. Angel ",Hawaii Council,8,Hawaii,Non-Partisan
CC10651,"Piltz, Ransom ",Mayor,,Maui,Democrat
CC10295,"Pine, Kymberly",Honolulu Council,1,Honolulu,Republican
CC10438,"Pleas, Bruce ",Kauai Council,Kauai,Kauai,Non-Partisan
CC10958,"Pohle, Richard ",Maui Council,Upcountry,Maui,Non-Partisan
CC10848,"Poindexter, Valerie",Hawaii Council,1,Hawaii,Non-Partisan
CC10599,"Pollard, Thomas ",Governor,,,Independent
CC10917,"Pomroy, Sharon ",OHA                                               ,Kauai,,Non-Partisan
CC10192,"Pontanilla, Joseph",Maui Council,Kahului,Maui,Democrat
CC11018,"Poti, LuAnn",House,35,,Republican
CC10691,"Potter-Campos, Susan ",Maui Council,10,Maui,Non-Partisan
CC11013,"Pouha, Feki",House,47,,Republican
CC10624,"Prentiss, Charles ",Senate,25,,Democrat
CC10402,"Prentiss, Merrily ",Honolulu Council,3,Honolulu,Democrat
CC10419,"Prevedouros, Panos ",Mayor,,Honolulu,Non-Partisan
CC10604,"Price, Larry ",Senate,8,,Democrat
CC10895,"Puletasi, Palasi ",House,40,,Democrat
CC10585,"Puletasi, Palasi Sam ",Senate,20,,Democrat
CC10401,"Purdy, Robert ",OHA                                               ,Molokai,,Democrat
CC10549,"Quimby, James ",Honolulu Council,5,Honolulu,Independent
CC10680,"Radke, Maurice",House,48,,Republican
CC10361,"Rahman, Inam",Honolulu Council,6,Honolulu,Democrat
CC10193,"Rapozo, Melvin",Kauai Council,At-Large,Kauai,Democrat
CC10767,"Rath, Jim ",Hawaii Council,8,Hawaii,Non-Partisan
CC10939,"Rattner, Joseph ",House,40,,Democrat
CC10381,"Reed, Robert ",Hawaii Council,3,Hawaii,Non-Partisan
CC10948,"Reeder, Adam",House,41,,Republican
CC10646,"Reyes, Arturo (Art) Pacheco ",Governor,,,Democrat
CC10405,"Reynolds, Joseph ",Hawaii Council,8,Hawaii,Non-Partisan
CC10194,"Rezentes, Cynthia",House,43,,Democrat
CC10195,"Rhoads, Karl",House,29,,Democrat
CC10196,"Richman, Monroe ",Kauai Council,Kauai,Kauai,Republican
CC10482,"Riley, Randell ",Mayor,,Hawaii,Non-Partisan
CC10718,"Rinaldi, Laurie ",House,12,,Republican
CC10906,"Ritte, Walter",OHA                                               ,At-Large,,Democrat
CC10386,"Riviere, Gil",House,47,,Democrat
CC10545,"Rockwell, Phillip ",House,31,,Democrat
CC10795,"Roco, John ",Honolulu Council,1,Honolulu,Republican
CC10512,"Rodriguez, Reynaldo ",House,42,,Democrat
CC10815,"Roth, Mitchell",Prosecuting Attorney,,Hawaii,Independent
CC10860,"Ruderman, Russell",Senate,2,,Democrat
CC10862,"Russell, Simon",House,13,,Republican
CC10988,"Rutledge, Aaron",Honolulu Council,6,Honolulu,Non-Partisan
CC10760,"Ryan, Ellen Pohai",Senate,25,,Democrat
CC10536,"Ryan, Ellen Pohai ",Honolulu Council,3,Honolulu,Non-Partisan
CC10666,"Sabey, Isaiah",House,24,,Republican
CC10424,"Safarik, Gary ",Hawaii Council,5,Hawaii,Non-Partisan
CC10871,"Safarik, Gary",Senate,2,,Democrat
CC10663,"Sagaysay, Lawrence ",House,46,,Democrat
CC10265,"Sagum, Roland ",House,16,,Democrat
CC10969,"Sahut, Ronson ",OHA                                               ,Kauai,,Democrat
CC10197,"Saiki, Scott",House,26,,Democrat
CC10198,"Sakamoto, Norman",Lt. Governor,,,Democrat
CC10272,"Salcedo, Janice ",Senate,19,,Democrat
CC11014,"San Buenaventura, Joy ",House,4,,Democrat
CC10727,"Sanborn, J William ",Hawaii Council,9,Hawaii,Non-Partisan
CC10877,"Sanborn, J. William ",Hawaii Council,9,Hawaii,Non-Partisan
CC10199,"Sanborn, J. William ",BOE                                               ,At-Large,,Non-Partisan
CC10427,"Saniatan, Rito ",House,41,,Republican
CC10814,"Santiago, Alexander ",Honolulu Council,1,Honolulu,Democrat
CC10884,"Santos, Donna",OHA                                               ,Kauai,,Non-Partisan
CC10200,"Saunders, Rex",House,23,,Democrat
CC10230,"Say, Calvin",House,20,,Democrat
CC10351,"Saylors, Denise ",House,45,,Democrat
CC10522,"Schatz, Brian",Lt. Governor,,,Democrat
CC10708,"Schmucker, S. Dean ",House,8,,Republican
CC10417,"Schultz, Michael",House,42,,Democrat
CC10731,"Seibert, Richard Eric",Senate,4,,Republican
CC10761,"Shafer, Benjamin ",Honolulu Council,2,Honolulu,Non-Partisan
CC10713,"Sharsh, Eleanor",House,31,,Democrat
CC10370,"Shields, Janice ",Senate,5,,Republican
CC10201,"Shimabukuro, Maile",Senate,21,,Democrat
CC10818,"Shimaoka, Oliver ""Sonny""",Hawaii Council,9,Hawaii,Non-Partisan
CC10702,"Shimizu, Garner",House,32,,Republican
CC10563,"Shiraki, Reed ",House,36,,Republican
CC10628,"Shiratori, Miles ",Governor,,,Democrat
CC10676,"Shorba, Lisa A.L. ",Senate,9,,Republican
CC10982,"Shubert-Kwock, Chu Lan",Honolulu Council,6,Honolulu,Independent
CC10665,"Siangco, Daniel ",House,49,,Republican
CC10547,"Sims, Jacques ""Butch"" ",Honolulu Council,5,Hawaii,Independent
CC10620,"Singer, Solomon ",House,4,,Non-Partisan
CC10287,"Slom, Sam",Senate,9,,Republican
CC10572,"Smart, Brittany",House,3,,Democrat
CC10210,"Smith, Andy ",House,6,,Republican
