reg_no,candidate_name,office,district,county,party
CC10700,"Harimoto, Breene",Honolulu Council,8,Honolulu,Non-Partisan
CC10701,"Higashi, Carl ",Honolulu Council,4,Honolulu,Republican
CC10702,"Shimizu, Garner",House,32,,Republican
CC10703,"Young, Pamela ",BOE,No Dept.,,Non-Partisan
CC10704,"Koh, Patrick",House,29,,Democrat
CC10705,"Makekau, Kealii",OHA,At-Large,,Independent
CC10706,"LaBedz, Diana ",Mayor,,Kauai,Democrat
CC10707,"Swindell, Lyle",House,32,,Democrat
CC10708,"Schmucker, S. Dean ",House,8,,Republican
CC10709,"Olson, Jonathon ",Mayor,,Maui,Non-Partisan
CC10711,"Kalima, Leona ",OHA,At-Large,,Non-Partisan
CC10712,"Iwamoto, Kim Coco ",BOE,Oahu,,Non-Partisan
CC10713,"Sharsh, Eleanor",House,31,,Democrat
CC10714,"Meyers, Jadeen ",House,45,,Republican
CC10715,"Clarke, Eileen ",BOE,4th Dept. (Central),,Democrat
CC10716,"Wasson, Dawn",House,46,,Democrat
CC10717,"Wolfgramm, Makahaa",House,51,,Republican
CC10718,"Rinaldi, Laurie ",House,12,,Republican
CC10719,"Nishiki, Wayne ",Maui Council,11,Maui,Non-Partisan
CC10720,"Miller, Harold ",Mayor,,Maui,Independent
CC10721,"Lee, Albert",House,18,,Democrat
CC10722,"Enos, Virginia ",Senate,25,,Republican
CC10723,"Cortez-Camero, Tania",House,3,,Republican
CC10724,"Vannatta, Sharon ",House,2,,Republican
CC10725,"Spence, Deborah ",Lt. Governor,,,Independent
CC10726,"Hirakami, Steven ",Lt. Governor,,,Democrat
CC10727,"Sanborn, J William ",Hawaii Council,9,Hawaii,Non-Partisan
CC10728,"DAlmeida, Eric ",House,1,,Republican
CC10729,"Sterker, Phillip ",House,16,,Republican
CC10730,"Fowler, Dennis ",Kauai Council,Kauai,Kauai,Non-Partisan
CC10731,"Seibert, Richard Eric",Senate,4,,Republican
CC10732,"Kaopua, John ",House,44,,Democrat
CC10733,"Pascua, Jason",House,48,,Democrat
CC10734,"Park, Timothy ",House,25,,Republican
CC10735,"Davidson, Daniel ",Senate,9,,Democrat
CC10736,"Takabayashi, Roger ",BOE,At-Large,,Non-Partisan
CC10737,"Apo, Peter",OHA,34,,Democrat
CC10738,"Williams, Harry ",House,14,,Republican
CC10739,"Mayor, Roberta ",BOE,At-Large,,Non-Partisan
CC10740,"Wilson, Herman ",Senate,7,,Independent
CC10741,"McLeod, John ",Mayor,,Honolulu,Libertarian
CC10742,"Chow Hammond, Sally ",Mayor,,Maui,Non-Partisan
CC10743,"Marshall, Eric ",Senate,10,,Republican
CC10744,"Garry, Timothy ",Honolulu Council,6,Honolulu,Non-Partisan
CC10746,"Kaneshiro, Keith",Prosecuting Attorney,,Honolulu,Non-Partisan
CC10747,"Wong, William ",House,34,,Republican
CC10748,"Aki, Charles ",Senate,22,,Republican
CC10749,"White, Thomas ",House,23,,Republican
CC10750,"Burke, Jackie ",OHA,Kauai,,Democrat
CC10751,"Lembeck, E.J. ",House,21,,Republican
CC10752,"David, Maile",Hawaii Council,6,Hawaii,Non-Partisan
CC10753,"Nakasato, Dennis ",Honolulu Council,6,Honolulu,Democrat
CC10754,"Bieber, Rolf ",Kauai Council,Kauai,Kauai,Non-Partisan
CC10755,"Hagino, Gerald ",Senate,22,,Democrat
CC10756,"Akuna, Meiling ",House,13,,Republican
CC10757,"Able, Johnathan ",House,5,,Non-Partisan
CC10758,"Lee, Philmund ",Mayor,,Honolulu,Non-Partisan
CC10759,"Leau, Rebecca",House,6,,Republican
CC10760,"Ryan, Ellen Pohai",Senate,25,,Democrat
CC10761,"Shafer, Benjamin ",Honolulu Council,2,Honolulu,Non-Partisan
CC10762,"Yamane, John ",Senate,7,,Democrat
CC10763,"Aiona, Joseph",House,49,,Republican
CC10764,"Nicolas, Fernie ",House,41,,Democrat
CC10765,"Larkey, Jerald ",House,38,,Republican
CC10766,"Wong, Carl ",House,39,,Republican
CC10767,"Rath, Jim ",Hawaii Council,8,Hawaii,Non-Partisan
CC10768,"Yago, Reginald",House,35,,Republican
CC10769,"Vieira, Robert ",Honolulu Council,6,Honolulu,Non-Partisan
CC10770,"Marten, Chayne ",House,10,,Republican
CC10771,"Curtis, Samuel ",House,39,,Republican
CC10772,"Christensen, Makani ",Honolulu Council,4,Honolulu,Non-Partisan
CC10773,"Dudek, Peter ",Senate,14,,Republican
CC10774,"Thomson, Zach ",House,24,,Republican
CC10775,"Georgi, JoAnne ",Senate,7,,Republican
CC10776,"Bailey, Melanie ",BOE,At-Large,,Non-Partisan
CC10777,"Bryant-Hunter, Kathy ",BOE,At-Large,,Non-Partisan
CC10778,"Odegaard, Michael ",OHA,At-Large,,Non-Partisan
CC10779,"Berinobis, Shari Floyd",Honolulu Council,4,Honolulu,Republican
CC10780,"Greenwell, Robert ",Hawaii Council,8,Hawaii,Non-Partisan
CC10781,"Stender, Oswald ",OHA,At-Large,,Non-Partisan
CC10782,"Cerizo, Thomas ",House,8,,Democrat
CC10783,"ONeal, David ",BOE,1,,Non-Partisan
CC10784,"McDermott, Bob ",Honolulu Council,1,Honolulu,Non-Partisan
CC10785,"Griffin, Calvin ",Mayor,,Honolulu,Non-Partisan
CC10786,"Kurshals, Maralyn ",BOE,1,,Non-Partisan
CC10787,"Vares, Norman ",Maui Council,South Maui,Maui,Non-Partisan
CC10788,"Martinez, Rosebella",House,40,,Democrat
CC10789,"Lewis, Chris ",Honolulu Council,1,Honolulu,Democrat
CC10790,"Arola, James ",BOE,5th Dept. (Leeward),,Non-Partisan
CC10791,"Darling, Alfred ",Senate,7,,Non-Partisan
CC10792,"Cordero, Angel ",House,41,,Republican
CC10793,"Kahele, Melvin",Honolulu Council,1,Honolulu,Non-Partisan
CC10794,"LoPresti, Matthew",House,41,,Democrat
CC10795,"Roco, John ",Honolulu Council,1,Honolulu,Republican
CC10796,"Velleses, Gary ",Honolulu Council,1,Honolulu,Non-Partisan
CC10797,"Espero, Jason",Honolulu Council,1,Honolulu,Democrat
CC10798,"Yuen, Victoria (Cissy) ",Honolulu Council,1,Honolulu,Democrat
CC10799,"Teruya, Patricia ",Honolulu Council,1,Honolulu,Non-Partisan
CC10800,"Manaku, James ",Honolulu Council,1,Honolulu,Non-Partisan
CC10801,"Kahele, Gilbert",Senate,1,,Democrat
CC10802,"Solomon, Malama",Senate,4,,Democrat
CC10803,"Jordan, Georgette ""Jo""",House,44,,Democrat
CC10804,"Haliniak, Barbara",Senate,7,,Democrat
CC10805,"Kollar, Justin",Prosecuting Attorney,,Kauai,Non-Partisan
CC10806,"Blackburn, Joseph",Maui Council,Wailuku,Maui,Non-Partisan
CC10807,"Han, Martin",Honolulu Council,7,Honolulu,Non-Partisan
CC10808,"Ohno, Takashi",House,27,,Democrat
CC10809,"Ing, Mark",House,11,,Democrat
CC10810,"Guzman, Don",Maui Council,Kahului,Maui,Non-Partisan
CC10811,"DeJean, Khistina Caldwell",Governor,,,Democrat
CC10812,"Ashida, Lincoln",Prosecuting Attorney,,Hawaii,Non-Partisan
CC10813,"Kern, Zendo",Hawaii Council,5,Hawaii,Non-Partisan
CC10814,"Santiago, Alexander ",Honolulu Council,1,Honolulu,Democrat
CC10815,"Roth, Mitchell",Prosecuting Attorney,,Hawaii,Independent
CC10816,"Bradshaw, Jacob",House,45,,Democrat
CC10817,"Wille, Margaret",Hawaii Council,9,Hawaii,Non-Partisan
CC10818,"Shimaoka, Oliver ""Sonny""",Hawaii Council,9,Hawaii,Non-Partisan
CC10819,"Ilagan, Greggor",Hawaii Council,4,Hawaii,Non-Partisan
CC10822,"Apoliona, Suzanne Haunani ",OHA,At-Large,,Non-Partisan
CC10823,"Okamura, Thomas ",House,33,,Democrat
CC10824,"Green, Robert ",Hawaii Council,9,Hawaii,Non-Partisan
CC10825,"McIntosh, Harry ",Hawaii Council,6,Hawaii,Non-Partisan
CC10826,"Weatherford, James ",Hawaii Council,4,Hawaii,Non-Partisan
CC10827,"Hanlon, Colin ",House,11,,Democrat
CC10828,"Cayetano, Benjamin",Mayor,,Honolulu,Non-Partisan
CC10829,"Greco, Michael ",Senate,16,,Republican
CC10830,"Eoff, Karen",Hawaii Council,8,Hawaii,Non-Partisan
CC10831,"Wilhelm, Steve ",Hawaii Council,2,Hawaii,Non-Partisan
CC10832,"Marsh, Anne",Mayor,,Hawaii,Non-Partisan
CC10833,"Delacruz, Efrain",Honolulu Council,1,Honolulu,Non-Partisan
CC10834,"Sua, Vai ",Honolulu Council,9,Honolulu,Non-Partisan
CC10840,"Velasco, Nicole",House,30,,Democrat
CC10841,"Westervelt, Bradley ",Hawaii Council,6,Hawaii,Non-Partisan
CC10842,"Kanuha, Dru",Hawaii Council,7,Hawaii,Non-Partisan
CC10843,"Goodenow, Kenneth ",Hawaii Council,2,Hawaii,Democrat
CC10844,"Sonson, Alex",House,38,,Democrat
CC10845,"Gering, Larry ",Hawaii Council,1,Hawaii,Independent
CC10846,"Giugni, Heather",House,33,,Democrat
CC10848,"Poindexter, Valerie",Hawaii Council,1,Hawaii,Non-Partisan
CC10850,"Tungpalan, Eloise Yamashita ",House,34,,Democrat
CC10851,"Hairgrove, Todd ",House,22,,Republican
CC10852,"Takata, Kevin",Prosecuting Attorney,,Honolulu,Independent
CC10853,"Holt, Daniel",House,29,,Democrat
CC10854,"Leslie, Bucky ",House,6,,Democrat
CC10855,"Perry, Johnnie-Mae ",House,44,,Democrat
CC10856,"Breslin, John ""Mike"" ",House,6,,Republican
CC10857,"McLaughlin, Erin ",Maui Council,Kahului,Maui,Non-Partisan
CC10858,"Hong, Lillian ",Honolulu Council,7,Honolulu,Non-Partisan
CC10859,"Housel, Fred ",House,6,,Democrat
CC10860,"Ruderman, Russell",Senate,2,,Democrat
CC10861,"Lowen, Nicole",House,6,,Democrat
CC10862,"Russell, Simon",House,13,,Republican
CC10863,"Cheape, Lauren",House,45,,Republican
CC10864,"Ahu-Isa, Lei ",House,26,,Democrat
CC10865,"Totten, John ",Senate,3,,Republican
CC10866,"Hemmings, Fred ",Senate,25,,Republican
CC10867,"Thielen, Laura",Senate,25,,Democrat
CC10868,"Crivello, Stephanie Stacy Helm",Maui Council,Molokai,Maui,Non-Partisan
CC10869,"Lipton, Levani ",Senate,25,,Democrat
CC10870,"Lajala, Kurt ",Senate,9,,Democrat
CC10871,"Safarik, Gary",Senate,2,,Democrat
CC10872,"Lyons, Jeffrey ",House,45,,Republican
CC10873,"Ikeda, Donald",Senate,1,,Democrat
CC10874,"Ceredon, Liscencio",Hawaii Council,5,Hawaii,Non-Partisan
CC10875,"Duey, Rose Marie ",OHA,Maui,,Non-Partisan
CC10876,"Bertram, Joe ",House,11,,Democrat
CC10877,"Sanborn, J. William ",Hawaii Council,9,Hawaii,Non-Partisan
CC10878,"Araujo, Steven",Hawaii Council,5,Hawaii,Non-Partisan
CC10879,"Higa, Creighton",House,44,,Republican
CC10880,"Pajimola, Noralyn",House,1,,Democrat
CC10881,"Kobayashi, Bertrand",House,19,,Democrat
CC10882,"Fenton, Larry ",Senate,11,,Republican
CC10883,"Kaukani, Chad",Honolulu Council,3,Honolulu,Non-Partisan
CC10884,"Santos, Donna",OHA,Kauai,,Non-Partisan
CC10885,"Manabat, Christopher",House,40,,Democrat
CC10886,"Young, Darrell",House,19,,Republican
CC10888,"McKeague-Gomes, Leslie",House,43,,Democrat
CC10889,"Kaehuaea, Wendell ",Senate,2,,Democrat
CC10890,"Hester, Marcus",House,22,,Republican
CC10891,"Dolan, Paul ",Prosecuting Attorney,,Hawaii,Non-Partisan
CC10892,"Helm, Kanohowailuku",Senate,7,,Non-Partisan
CC10893,"Au, Tiffany",House,26,,Republican
CC10894,"Thompson, Rachel ",Hawaii Council,2,Hawaii,Non-Partisan
CC10895,"Puletasi, Palasi ",House,40,,Democrat
CC10896,"Larson, Elisabeth",Senate,12,,Republican
CC10897,"Cermelj, Hope ",House,4,,Non-Partisan
CC10898,"Yamane, Brian ",House,19,,Democrat
CC10899,"Mindo, Romeo ",House,40,,Democrat
CC10900,"Johnson, Richard ",Senate,21,,Republican
CC10901,"Gutierrez, Lynne",House,31,,Democrat
CC10902,"Aipoalani, Hanalei",House,43,,Democrat
CC10903,"Lunasco, Oliver ",House,45,,Democrat
CC10904,"Oyama, Leolani ",House,5,,Democrat
CC10906,"Ritte, Walter",OHA,At-Large,,Democrat
CC10907,"Kagawa Fu, Kanani",OHA,Kauai,,Democrat
CC10908,"Fogel, Frederick ",House,3,,Libertarian
CC10909,"Smith, Daryl ",Senate,2,,Republican
CC10910,"Bateman, David",House,5,,Republican
CC10911,"Cullen, Sy",Honolulu Council,9,Honolulu,Non-Partisan
CC10912,"Lacuesta, Roger ",Senate,19,,Democrat
CC10913,"Butler, Glenn",House,43,,Republican
CC10914,"Takayama, Gregg",House,34,,Democrat
CC10915,"Heaukulani, Joseph",House,20,,Non-Partisan
CC10917,"Pomroy, Sharon ",OHA,Kauai,,Non-Partisan
CC10918,"Kaahui, Edward ",House,10,,Democrat
CC10919,"Fevella, Kurt",House,40,,Democrat
CC10920,"Vincent, Henry",House,51,,Republican
CC10921,"Greenwell, Robert ",Senate,4,,Green
CC10922,"Last, Michael ",Senate,3,,Non-Partisan
CC10923,"McDermott, Bob",House,40,,Republican
CC10924,"Kim, Harry ",Mayor,,Hawaii,Non-Partisan
CC10925,"Stephens, Aaron ",House,4,,Non-Partisan
CC10926,"Peters, Wilson",Maui Council,Molokai,Maui,Non-Partisan
CC10927,"Ebert, Roy",House,6,,Republican
CC10928,"Georgi, William",Senate,8,,Republican
CC10929,"Albao, Liberta",OHA,Kauai,,Non-Partisan
CC10930,"Bonk, Keiko",House,20,,Green
CC10931,"Herrera, Rojelio ",Senate,18,,Republican
CC10932,"Yadao, Leland ",OHA,Kauai,,Non-Partisan
CC10933,"Beirne, D. Ululani ",House,47,,Democrat
CC10934,"Synan, Dwight",House,20,,Democrat
CC10935,"Kagawa, Ross",Kauai Council,At-Large,Kauai,Democrat
CC10936,"LaFrance, Jeff ",Senate,3,,Republican
CC10937,"Murphy, Christopher ",House,46,,Republican
CC10938,"Meyers, William ",OHA,Hawaii,,Democrat
CC10939,"Rattner, Joseph ",House,40,,Democrat
CC10940,"Lee, Calvin ",OHA,At-Large,,Democrat
CC10941,"Lincoln, Lancelot ",OHA,At-Large,,Democrat
CC10942,"Capelouto, Dean",Senate,20,,Republican
CC10943,"Pacheco, Jade ",OHA,Kauai,,Non-Partisan
CC10944,"DAlmeida, Eric ",Hawaii Council,1,Hawaii,Non-Partisan
CC10945,"Akina, William",OHA,At-Large,,Non-Partisan
CC10946,"Bossley, Deborah ",Honolulu Council,3,Honolulu,Independent
CC10947,"Apana, Melvin ",House,36,,Republican
CC10948,"Reeder, Adam",House,41,,Republican
CC10949,"Kapuniai, Ryan",House,26,,Democrat
CC10950,"Aki, Charles ",Senate,22,,Republican
CC10951,"Christie, Sherryanne ",Mayor,,Hawaii,Non-Partisan
CC10952,"Kay, Alana",Mayor,,Maui,Non-Partisan
CC10953,"Takamura, Clifton ",House,21,,Democrat
CC10954,"Wingard, Lori",House,18,,Republican
CC10955,"Kim, Brian ",House,27,,Republican
CC10956,"Yagong, Chelsea",Hawaii Council,1,Hawaii,Democrat
CC10957,"Trujillo, Troy",House,16,,Republican
CC10958,"Pohle, Richard ",Maui Council,Upcountry,Maui,Non-Partisan
CC10959,"Marten, Chayne ",House,10,,Republican
CC10960,"Guccione, Charles ",Hawaii Council,8,Hawaii,Non-Partisan
CC10961,"Swain, William",OHA,Kauai,,Non-Partisan
CC10962,"Cunningham, Daniel ",Mayor,,Hawaii,Non-Partisan
CC10963,"Svrcina, Emil ",House,37,,Republican
CC10964,"Kalama, Ekolu ",House,12,,Republican
CC10965,"Onishi, Richard",House,3,,Democrat
CC10966,"Akaka, Kaleihikina",House,6,,Democrat
CC10967,"Ahuna, Daniel",OHA,Kauai,,Non-Partisan
CC10968,"Hayes, James",Honolulu Council,5,Honolulu,Non-Partisan
CC10969,"Sahut, Ronson ",OHA,Kauai,,Democrat
CC10970,"Thomson, Zachary ",House,23,,Republican
CC10971,"Mulvihill, Bart",Senate,6,,Republican
CC10972,"Alalem, Allen-Dean",OHA,Kauai,,Democrat
CC10973,"Walls, Rand ",Mayor,,Hawaii,Non-Partisan
CC10974,"Miranda, Edwin ",OHA,2,,Non-Partisan
CC10975,"Amorin, Johanna",OHA,Maui,,Independent
CC10976,"Kane, Dain",OHA,Maui,,Non-Partisan
CC10977,"Gomes, Doreen ",OHA,Maui,,Non-Partisan
CC10978,"Yoshimura, Jon ",Honolulu Council,6,Honolulu,Non-Partisan
CC10979,"Miller, Steven",Honolulu Council,6,Honolulu,Non-Partisan
CC10980,"Brewer, James ",Honolulu Council,6,Honolulu,Non-Partisan
CC10981,"Lindsey, Carmen",OHA,Maui,,Independent
CC10982,"Shubert-Kwock, Chu Lan",Honolulu Council,6,Honolulu,Independent
CC10983,"Mizuno, Joje May",Honolulu Council,6,Honolulu,Non-Partisan
CC10984,"Nakasato, Kevin",Honolulu Council,6,Honolulu,Non-Partisan
CC10985,"Youngquist, Arvid ",Honolulu Council,6,Honolulu,Democrat
CC10986,"Smith, Christopher ",Honolulu Council,6,Honolulu,Democrat
CC10987,"Kapu, Jonah Keeaumoku ",OHA,Maui,,Non-Partisan
CC10988,"Rutledge, Aaron",Honolulu Council,6,Honolulu,Non-Partisan
CC10989,"Suapaia, Jason",Honolulu Council,6,Honolulu,Non-Partisan
CC10990,"Vieira, Robert ",Honolulu Council,6,Honolulu,Democrat
CC10991,"Amsterdam, C. Kaui Jochanan ",Honolulu Council,6,Honolulu,Republican
CC10992,"Lum Lee, Christopher-Travis",OHA,Oahu,,Democrat
CC10993,"Woodson, Justin",House,9,,Democrat
CC10994,"Fung, Lester",House,20,,Democrat
CC10995,"Tupola, Andria",House,43,,Republican
CC10996,"Elefante, Brandon",Honolulu Council,8,Honolulu,Non-Partisan
CC10997,"Wong, Arnold",House,33,,Democrat
CC10998,"Iwasa, Natalie",Honolulu Council,4,Honolulu,Independent
CC10999,"Eli, Stacelynn",House,43,,Democrat
CC11000,"Awana, Karen",House,43,,Democrat
CC11002,"Costales, Luella",House,36,,Democrat
CC11003,"Zibakalam, Emmanuel",House,21,,Democrat
CC11004,"Lee, Marilyn",House,36,,Democrat
CC11005,"Amato, Terez",Senate,6,,Democrat
CC11006,"Ozawa, Trevor",Honolulu Council,4,Honolulu,Non-Partisan
CC11007,"McInerny, Harvey",OHA,At-Large,,Non-Partisan
CC11008,"Davis, Jeffrey",Governor,,,Libertarian
CC11009,"Higa, Anthony",House,19,,Libertarian
CC11010,"Paltin, Tamara ",Mayor,,Maui,Democrat
CC11011,"Fowler, Max",House,27,,Republican
CC11012,"Peleiholani, Julia",House,4,,Democrat
CC11013,"Pouha, Feki",House,47,,Republican
CC11014,"San Buenaventura, Joy ",House,4,,Democrat
CC11015,"Grace, Janet ",House,22,,Republican
CC11016,"Hikida, Wayne ",House,51,,Republican
CC11017,"Hood, Joan",House,50,,Republican
CC11018,"Poti, LuAnn",House,35,,Republican
CC11019,"Buenconsejo, Butch Kaala",Maui Council,West Maui,Maui,Democrat
CC11020,"Bukoski, Keith ",House,48,,Democrat
CC11021,"Kamaka, Joseph",Senate,,,
CC11022,"Wong-Kalu, Hinaleimoana",OHA,At-Large,,Non-Partisan
CC11023,"Arianoff, Gregory ",Senate,1,,Libertarian
CC11024,"Waters, Tommy",Honolulu Council,4,Honolulu,Non-Partisan
CC11025,"Helsham, Robert",House,33,,Republican
CC11026,"Arakaki, Tracy",House,33,,Democrat
CC11027,"Creagan, Richard",House,5,,Democrat
CC11028,"Abbett, Richard",Hawaii Council,6,Hawaii,Non-Partisan
CC11030,"Kalima, Leona",OHA,,,
CC11031,"Stump, Christopher",House,17,,Democrat
CC11032,"Brun, Arthur",Kauai Council,At-Large,Kauai,Non-Partisan
CC11033,"Strode, Ronald ",Mayor,,,
CC11034,"Fonoimoana, Kent ",House,47,,Democrat
CC11035,"Ahu, Elwin",Lt. Governor,,,Republican
CC11036,"Yoder, Steven",House,15,,Republican
CC11037,"Banda, Raymond",Senate,18,,Libertarian
CC11038,"Trask, Mililani",OHA,At-Large,,Democrat
CC11039,"Greene, Madeline",Hawaii Council,4,Hawaii,Non-Partisan
